"";"TCGA.DD.A1EG";"TCGA.DD.A3A1";"TCGA.DD.A3A4";"TCGA.EP.A26S";"TCGA.EP.A12J";"TCGA.BC.A10T";"TCGA.DD.A116";"TCGA.DD.A1EH";"TCGA.DD.A11A";"TCGA.DD.A119";"TCGA.DD.A39V";"TCGA.EP.A3RK";"TCGA.DD.A11B";"TCGA.DD.A1EI";"TCGA.BD.A2L6";"TCGA.BC.A10W";"TCGA.G3.A3CH";"TCGA.DD.A11C";"TCGA.BC.A10Y";"TCGA.DD.A3A3";"TCGA.DD.A3A8";"TCGA.DD.A1EL";"TCGA.BC.A10U";"TCGA.FV.A2QR";"TCGA.DD.A1EE";"TCGA.ES.A2HT";"TCGA.FV.A3I0";"TCGA.FV.A23B";"TCGA.DD.A113";"TCGA.BC.A110";"TCGA.DD.A1EB";"TCGA.DD.A3A5";"TCGA.BD.A3EP";"TCGA.BC.A10Q";"TCGA.FV.A3I1";"TCGA.DD.A39X";"TCGA.DD.A39Z";"TCGA.DD.A39W";"TCGA.BC.A10X";"TCGA.DD.A3A2";"TCGA.DD.A1EJ";"TCGA.DD.A118";"TCGA.BC.A216";"TCGA.DD.A11D";"TCGA.BC.A10R"
"TCGA.BC.A10U";0,939402425379877;0,909999339688127;0;0,901523377695019;0,907106348195496;0,912317874651769;0,900349446629716;0;0,886461738040136;0,918310950513712;0;0,916434708855606;0,862522673283751;0;0,921954347332042;0;0,928710898052027;0,85062332732527;0,89488009408378;0;0;0;0;0;0;0;0;0;0;0,88100850740664;0;0,913007492736212;0;0;0,867111575723793;0;0;0;0,912110619285539;0,905673709732055;0;0;0,854599487513371;0,869066276159185;0,864961456035768
"TCGA.FV.A2QR";0,90328039643955;0,866812781064786;0;0;0,926792361083129;0;0;0;0,888714601785225;0;0;0;0,932505666730378;0;0,918030522042668;0;0,875285682976972;0,93030469473421;0,910798527953323;0;0,927957902614863;0;0;0;0;0,943651083789674;0;0;0;0;0,931578629230521;0,859795438476584;0;0;0;0;0;0;0;0,890921982201016;0;0;0;0,960981418933028;0
"TCGA.DD.A1EE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,860261125668231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,854301091888761;0;0,872006586123955;0;0;0;0;0;0;0;0;0;0
"TCGA.ES.A2HT";0,909398108252067;0,863026092820364;0;0;0,910576182479792;0;0,858777063231208;0;0;0,870685088536882;0;0;0,956190502865072;0;0,924805388411971;0;0,905012148634719;0,961937597854401;0,955159381816694;0;0,970595485558168;0;0;0,943651083789674;0;0;0;0;0;0;0,88311886562009;0,894225014941063;0;0;0;0;0;0;0;0,891968728337158;0;0;0;0,961708071467652;0
"TCGA.FV.A3I0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,896145423092087;0;0;0;0,902565609693299;0;0;0;0;0;0;0
"TCGA.FV.A23B";0;0;0;0,870659954504207;0;0;0;0,953140128642923;0;0;0;0,882793471519673;0;0,888106620918007;0;0;0;0;0;0,897188447548402;0;0,885594148440431;0;0;0;0;0;0;0;0;0;0;0,887582953491158;0;0;0,877969592604772;0;0;0;0;0;0,908456686358519;0,856573458781148;0;0,903546856786158
"TCGA.DD.A113";0;0;0;0,879169081146219;0;0;0;0,876306815024896;0;0;0;0;0;0,903722172037196;0;0;0;0;0;0;0;0,908909247501143;0;0;0;0;0;0;0;0;0;0;0,909851899207708;0;0;0;0;0,905979237734786;0;0;0;0,877467235626814;0;0;0
"TCGA.BC.A110";0,874660460038084;0,885238532437161;0;0,856014055529861;0;0,865333639164863;0,87114595162618;0;0;0,868249740156132;0;0;0;0;0,867710498873498;0;0,890469348058521;0;0;0;0;0;0,88100850740664;0;0;0;0;0;0;0;0;0,870861922281831;0;0;0;0;0;0;0,954241811846835;0,853110102845119;0;0;0;0;0
"TCGA.DD.A1EB";0,850636026379548;0;0;0;0,880478823644053;0;0;0;0,945694080168802;0;0;0;0,902049711566098;0;0,872344135970758;0;0,873564469346731;0,907526142587821;0,897233369967573;0;0,899563479959903;0;0;0,931578629230521;0;0,88311886562009;0;0;0;0;0;0;0;0;0;0;0;0;0;0,92587036525292;0;0;0;0,948421554535456;0
"TCGA.DD.A3A5";0,942146433671458;0,895601561168952;0;0,896396428656054;0,91732687531836;0,92620920327659;0,921398303562081;0;0,853312792622848;0,92100543600359;0,854906052187476;0,88064700032203;0,900901297524612;0;0,939648094286339;0;0,952025683181616;0,899665850654187;0,939186438970747;0;0,902715670952055;0;0,913007492736212;0,859795438476584;0;0,894225014941063;0;0;0;0,870861922281831;0;0;0;0;0;0;0;0;0,86576562233233;0,933187199425566;0;0;0;0,902997166526338;0
